"","State","Region","Retail...recreation","Grocery...pharmacy","Parks","Transit.stations","Workplaces","Residential"
"1212","Michigan","Schoolcraft County",-80,-37,-51,NA,-44,NA
"1213","Michigan","Shiawassee County",-51,-25,NA,NA,-34,24
"1214","Michigan","St. Clair County",-50,-30,38,-32,-37,11
"1215","Michigan","St. Joseph County",-44,-31,NA,NA,-39,23
"1216","Michigan","Tuscola County",-47,-19,NA,NA,-37,23
"1217","Michigan","Van Buren County",-43,-24,-9,NA,-30,23
"1218","Michigan","Washtenaw County",-65,-48,53,-49,-53,15
"1219","Michigan","Wayne County",-57,-25,24,-61,-45,13
"1220","Michigan","Wexford County",-52,-21,NA,NA,-37,12
"1221","Minnesota","Total",-58,-35,-16,-64,-38,14
"1222","Minnesota","Aitkin County",-63,-46,-65,NA,-41,NA
"1223","Minnesota","Anoka County",-55,-34,12,-45,-39,15
"1224","Minnesota","Becker County",-51,-21,NA,NA,-35,16
"1225","Minnesota","Beltrami County",-52,-29,4,NA,-36,18
"1226","Minnesota","Benton County",-58,-33,NA,NA,-31,18
"1227","Minnesota","Big Stone County",NA,NA,NA,NA,-35,NA
"1228","Minnesota","Blue Earth County",-65,-38,-40,NA,-35,20
"1229","Minnesota","Brown County",-31,-39,NA,NA,-19,9
"1230","Minnesota","Carlton County",-57,-45,NA,NA,-26,11
"1231","Minnesota","Carver County",-53,-39,-41,NA,-46,24
"1232","Minnesota","Cass County",-67,-22,-18,NA,-45,0
"1233","Minnesota","Chippewa County",-31,NA,NA,NA,-25,NA
"1234","Minnesota","Chisago County",-72,-41,-33,NA,-35,20
"1235","Minnesota","Clay County",-44,-25,NA,NA,-34,20
"1236","Minnesota","Clearwater County",-35,-34,NA,NA,-38,NA
"1237","Minnesota","Cook County",-78,-47,NA,NA,-46,NA
"1238","Minnesota","Cottonwood County",-74,NA,NA,NA,-24,NA
"1239","Minnesota","Crow Wing County",-55,-31,-33,NA,-37,16
"1240","Minnesota","Dakota County",-57,-37,-16,-43,-41,15
"1241","Minnesota","Dodge County",-71,-35,NA,NA,-30,4
"1242","Minnesota","Douglas County",-56,-38,-47,-20,-35,17
"1243","Minnesota","Faribault County",-59,-31,NA,NA,-18,NA
"1244","Minnesota","Fillmore County",-74,-25,NA,NA,-28,NA
"1245","Minnesota","Freeborn County",-47,-29,NA,-20,-32,15
"1246","Minnesota","Goodhue County",-49,-38,-20,NA,-39,18
"1247","Minnesota","Grant County",NA,NA,NA,NA,-23,NA
"1248","Minnesota","Hennepin County",-64,-37,-17,-74,-44,16
"1249","Minnesota","Houston County",-85,-30,NA,NA,-28,NA
"1250","Minnesota","Hubbard County",-45,-32,NA,NA,-44,NA
"1251","Minnesota","Isanti County",-53,-40,-36,NA,-32,17
"1252","Minnesota","Itasca County",-54,-29,NA,NA,-26,17
"1253","Minnesota","Jackson County",-77,NA,NA,NA,-27,NA
"1254","Minnesota","Kanabec County",-59,-39,NA,NA,-38,NA
"1255","Minnesota","Kandiyohi County",-51,-25,NA,NA,-29,16
"1256","Minnesota","Koochiching County",-44,-32,NA,NA,-29,NA
"1257","Minnesota","Lac qui Parle County",NA,NA,NA,NA,-20,NA
"1258","Minnesota","Lake County",-81,-48,-50,NA,-31,NA
"1259","Minnesota","Lake of the Woods County",-71,NA,NA,NA,NA,NA
"1260","Minnesota","Le Sueur County",-22,-22,NA,NA,-33,17
"1261","Minnesota","Lincoln County",NA,NA,NA,NA,-26,NA
"1262","Minnesota","Lyon County",-51,-33,NA,NA,-25,4
"1263","Minnesota","Mahnomen County",NA,NA,NA,NA,-52,NA
"1264","Minnesota","Marshall County",NA,NA,NA,NA,-29,NA
"1265","Minnesota","Martin County",-55,-27,NA,NA,-26,NA
"1266","Minnesota","McLeod County",-49,-31,NA,NA,-25,16
"1267","Minnesota","Meeker County",-40,-49,NA,NA,-32,3
"1268","Minnesota","Mille Lacs County",-49,-30,NA,NA,-39,11
"1269","Minnesota","Morrison County",-49,-37,-61,NA,-27,13
"1270","Minnesota","Mower County",-48,-37,NA,NA,-25,18
"1271","Minnesota","Murray County",-35,NA,NA,NA,-22,NA
"1272","Minnesota","Nicollet County",-64,-43,NA,NA,-33,20
"1273","Minnesota","Nobles County",-49,-20,NA,-45,-22,NA
"1274","Minnesota","Norman County",NA,NA,NA,NA,-23,NA
"1275","Minnesota","Olmsted County",-62,-35,-13,-57,-40,15
"1276","Minnesota","Otter Tail County",-45,-15,-2,NA,-30,15
"1277","Minnesota","Pennington County",-39,-21,NA,NA,-40,NA
"1278","Minnesota","Pine County",-56,-58,-47,NA,-53,10
"1279","Minnesota","Pipestone County",-64,-20,NA,NA,-26,NA
"1280","Minnesota","Polk County",-55,-28,NA,NA,-29,15
"1281","Minnesota","Pope County",-83,NA,NA,NA,-33,NA
"1282","Minnesota","Ramsey County",-64,-34,-29,-43,-42,15
"1283","Minnesota","Redwood County",-49,-2,NA,NA,-38,NA
"1284","Minnesota","Renville County",-50,NA,NA,NA,-22,NA
"1285","Minnesota","Rice County",-51,-28,-48,-43,-39,18
"1286","Minnesota","Rock County",-65,NA,NA,NA,-26,NA
"1287","Minnesota","Roseau County",-73,-26,NA,NA,-49,NA
"1288","Minnesota","Scott County",-55,-41,-19,NA,-42,15
"1289","Minnesota","Sherburne County",-50,-37,-42,NA,-38,20
"1290","Minnesota","Sibley County",-32,NA,NA,NA,-18,NA
"1291","Minnesota","St. Louis County",-64,-41,-35,-56,-37,14
"1292","Minnesota","Stearns County",-61,-37,-53,-62,-36,14
"1293","Minnesota","Steele County",-53,-27,-60,-44,-33,19
"1294","Minnesota","Stevens County",-63,-26,NA,NA,-28,NA
"1295","Minnesota","Swift County",-29,-27,NA,NA,-23,NA
"1296","Minnesota","Todd County",-46,-20,NA,NA,-28,3
"1297","Minnesota","Wabasha County",-75,-25,NA,NA,-28,NA
"1298","Minnesota","Wadena County",-46,-27,NA,NA,-28,NA
"1299","Minnesota","Waseca County",-40,-45,NA,NA,-21,NA
"1300","Minnesota","Washington County",-55,-39,-8,-38,-40,16
"1301","Minnesota","Watonwan County",-57,NA,NA,NA,-7,NA
"1302","Minnesota","Wilkin County",NA,NA,NA,NA,-28,NA
"1303","Minnesota","Winona County",-52,-35,NA,-49,-23,20
"1304","Minnesota","Wright County",-55,-37,-25,NA,-35,15
"1305","Minnesota","Yellow Medicine County",-23,NA,NA,NA,-26,NA
"1306","Mississippi","Total",-32,-7,27,-29,-30,9
"1307","Mississippi","Adams County",-33,-10,NA,NA,-34,NA
"1308","Mississippi","Alcorn County",-32,-9,NA,NA,-28,1
"1309","Mississippi","Amite County",-34,-13,NA,NA,-33,NA
"1310","Mississippi","Attala County",-10,11,NA,NA,-20,NA
"1311","Mississippi","Benton County",NA,NA,NA,NA,-23,NA
"1312","Mississippi","Bolivar County",-15,1,NA,NA,-24,NA
"1313","Mississippi","Calhoun County",-30,2,NA,NA,-32,NA
"1314","Mississippi","Carroll County",NA,NA,NA,NA,-33,NA
"1315","Mississippi","Chickasaw County",-18,-16,NA,NA,-35,NA
"1316","Mississippi","Claiborne County",-22,NA,NA,NA,-9,NA
"1317","Mississippi","Clarke County",-31,-10,NA,NA,-25,NA
"1318","Mississippi","Clay County",-24,8,NA,-34,-33,NA
"1319","Mississippi","Coahoma County",-19,18,NA,NA,-43,NA
"1320","Mississippi","Copiah County",-19,-2,NA,NA,-15,NA
"1321","Mississippi","Covington County",-32,-7,NA,NA,-29,NA
"1322","Mississippi","DeSoto County",-37,-7,50,-25,-34,10
"1323","Mississippi","Forrest County",-32,-8,NA,-27,-30,13
"1324","Mississippi","George County",-28,9,NA,NA,-28,NA
"1325","Mississippi","Greene County",NA,-10,NA,NA,-23,NA
"1326","Mississippi","Grenada County",-14,10,NA,NA,-15,NA
"1327","Mississippi","Hancock County",-22,-7,NA,NA,-40,16
"1328","Mississippi","Harrison County",-39,-13,51,-41,-44,10
"1329","Mississippi","Hinds County",-28,0,10,-9,-29,9
"1330","Mississippi","Holmes County",2,13,NA,NA,-30,NA
"1331","Mississippi","Humphreys County",NA,-9,NA,NA,-30,NA
"1332","Mississippi","Itawamba County",-33,14,NA,NA,-28,NA
"1333","Mississippi","Jackson County",-28,-9,19,-38,-38,10
"1334","Mississippi","Jasper County",-22,-3,NA,NA,-18,NA
"1335","Mississippi","Jefferson Davis County",NA,6,NA,NA,-34,NA
"1336","Mississippi","Jones County",-24,1,NA,NA,-28,11
"1337","Mississippi","Kemper County",NA,NA,NA,NA,-26,NA
"1338","Mississippi","Lafayette County",-46,-21,NA,NA,-35,10
"1339","Mississippi","Lamar County",-52,-11,NA,-44,-25,14
"1340","Mississippi","Lauderdale County",-38,-14,8,-29,-35,14
"1341","Mississippi","Lawrence County",NA,4,NA,NA,-30,NA
"1342","Mississippi","Leake County",-21,-23,NA,NA,-26,NA
"1343","Mississippi","Lee County",-46,-12,NA,-26,-33,19
"1344","Mississippi","Leflore County",-7,6,NA,NA,-15,NA
"1345","Mississippi","Lincoln County",-22,-13,NA,NA,-25,NA
"1346","Mississippi","Lowndes County",-33,8,NA,-39,-28,13
"1347","Mississippi","Madison County",-33,-11,45,-45,-37,21
"1348","Mississippi","Marion County",-17,-7,NA,NA,-15,NA
"1349","Mississippi","Marshall County",-14,4,NA,NA,-22,5
"1350","Mississippi","Monroe County",-46,-7,NA,NA,-31,0
"1351","Mississippi","Montgomery County",-50,-23,NA,-22,-17,NA
"1352","Mississippi","Neshoba County",-23,-7,NA,NA,-27,NA
"1353","Mississippi","Newton County",-19,-7,NA,NA,-16,NA
"1354","Mississippi","Noxubee County",-5,10,NA,NA,-19,NA
"1355","Mississippi","Oktibbeha County",-44,-20,NA,NA,-32,2
"1356","Mississippi","Panola County",-8,7,NA,-28,-22,-3
"1357","Mississippi","Pearl River County",-18,0,NA,-24,-28,14
"1358","Mississippi","Perry County",NA,-4,-22,NA,-27,NA
"1359","Mississippi","Pike County",-27,-9,NA,-28,-19,-2
"1360","Mississippi","Pontotoc County",-28,-3,NA,NA,-29,-1
"1361","Mississippi","Prentiss County",-23,-3,NA,NA,-25,NA
"1362","Mississippi","Quitman County",NA,NA,NA,NA,-32,NA
"1363","Mississippi","Rankin County",-42,-12,-9,-42,-27,10
"1364","Mississippi","Scott County",-27,-1,NA,-9,-17,NA
"1365","Mississippi","Simpson County",-25,-3,NA,-40,-20,NA
"1366","Mississippi","Smith County",NA,7,NA,NA,-21,NA
"1367","Mississippi","Stone County",-18,-22,NA,NA,-28,NA
"1368","Mississippi","Sunflower County",-9,25,NA,-20,-10,NA
"1369","Mississippi","Tallahatchie County",NA,-6,NA,NA,-31,NA
"1370","Mississippi","Tate County",-24,-1,NA,-8,-28,NA
"1371","Mississippi","Tippah County",-26,-17,NA,NA,-25,NA
"1372","Mississippi","Tishomingo County",-2,8,NA,NA,-22,NA
"1373","Mississippi","Tunica County",-50,16,NA,NA,-44,NA
"1374","Mississippi","Union County",-25,-8,NA,-20,-32,NA
"1375","Mississippi","Walthall County",-47,2,NA,NA,-28,NA
"1376","Mississippi","Warren County",-26,-11,-20,NA,-28,15
"1377","Mississippi","Washington County",-22,5,NA,NA,-18,11
"1378","Mississippi","Wayne County",-25,11,NA,NA,-21,NA
"1379","Mississippi","Webster County",-41,-9,NA,NA,-33,NA
"1380","Mississippi","Wilkinson County",NA,-8,NA,NA,-28,NA
"1381","Mississippi","Winston County",-6,-6,NA,NA,-23,NA
"1382","Mississippi","Yalobusha County",NA,-2,NA,NA,-28,NA
"1383","Mississippi","Yazoo County",-19,11,NA,NA,-20,NA
"1384","Missouri","Total",-38,-12,73,-34,-32,9
"1385","Missouri","Adair County",-40,55,NA,NA,-20,-1
"1386","Missouri","Andrew County",-63,5,NA,NA,-32,NA
"1387","Missouri","Audrain County",-29,-9,NA,NA,-20,6
"1388","Missouri","Barry County",-18,19,NA,NA,-26,9
"1389","Missouri","Barton County",-18,NA,NA,NA,-25,NA
"1390","Missouri","Bates County",-20,15,NA,NA,-18,NA
"1391","Missouri","Benton County",-32,128,NA,NA,-24,NA
"1392","Missouri","Bollinger County",-50,-18,NA,NA,-35,NA
"1393","Missouri","Boone County",-55,-18,65,-58,-36,10
"1394","Missouri","Buchanan County",-29,2,NA,-5,-22,7
"1395","Missouri","Butler County",-23,-5,NA,NA,-20,10
"1396","Missouri","Caldwell County",NA,NA,NA,NA,-20,NA
"1397","Missouri","Callaway County",-36,-1,NA,NA,-20,18
"1398","Missouri","Camden County",-28,16,NA,NA,-36,13
"1399","Missouri","Cape Girardeau County",-43,-20,0,NA,-33,12
"1400","Missouri","Carroll County",-28,NA,NA,NA,-19,NA
"1401","Missouri","Cass County",-26,-17,29,-14,-33,9
"1402","Missouri","Cedar County",-15,-5,NA,NA,-28,NA
"1403","Missouri","Chariton County",NA,NA,NA,NA,-30,NA
"1404","Missouri","Christian County",-30,-10,-19,NA,-33,13
"1405","Missouri","Clark County",NA,-10,NA,-46,-4,NA
"1406","Missouri","Clay County",-32,-17,214,-30,-38,10
"1407","Missouri","Clinton County",-76,-8,NA,NA,-31,NA
"1408","Missouri","Cole County",-44,-23,NA,NA,-29,19
"1409","Missouri","Cooper County",-27,-19,NA,-15,-20,NA
"1410","Missouri","Crawford County",-20,-7,NA,-7,-17,NA
"1411","Missouri","Dade County",NA,NA,NA,NA,-13,NA
"1412","Missouri","Dallas County",-11,8,NA,NA,-16,NA
"1413","Missouri","Daviess County",NA,NA,NA,NA,-13,NA
"1414","Missouri","DeKalb County",-7,3,NA,NA,-18,NA
"1415","Missouri","Dent County",0,NA,NA,NA,-5,NA
"1416","Missouri","Douglas County",-5,-14,NA,NA,-21,NA
"1417","Missouri","Dunklin County",-15,10,NA,NA,-23,NA
"1418","Missouri","Franklin County",-33,2,61,-12,-25,8
"1419","Missouri","Gasconade County",-22,NA,NA,NA,-25,NA
"1420","Missouri","Gentry County",NA,NA,NA,NA,-34,NA
"1421","Missouri","Greene County",-45,-30,43,-34,-36,10
"1422","Missouri","Grundy County",-16,-7,NA,NA,-10,NA
"1423","Missouri","Harrison County",-25,-20,NA,-15,-20,NA
"1424","Missouri","Henry County",-9,2,NA,NA,-20,-1
"1425","Missouri","Hickory County",NA,NA,NA,NA,-2,NA
"1426","Missouri","Howard County",NA,NA,NA,NA,-23,NA
"1427","Missouri","Howell County",-36,-16,NA,-24,-28,12
"1428","Missouri","Iron County",-18,4,104,NA,-9,NA
"1429","Missouri","Jackson County",-43,-14,28,-13,-36,10
"1430","Missouri","Jasper County",-26,-10,42,-11,-22,7
"1431","Missouri","Jefferson County",-36,-16,94,6,-33,9
"1432","Missouri","Johnson County",-28,-5,NA,NA,-20,16
"1433","Missouri","Laclede County",-21,-2,NA,NA,-22,13
"1434","Missouri","Lafayette County",-24,-8,NA,-19,-24,13
"1435","Missouri","Lawrence County",-5,-2,NA,-17,-25,11
"1436","Missouri","Lewis County",-14,NA,NA,NA,-13,NA
"1437","Missouri","Lincoln County",-40,-14,NA,NA,-32,18
"1438","Missouri","Linn County",-19,-7,NA,NA,-7,NA
"1439","Missouri","Livingston County",-15,-6,NA,NA,-25,NA
"1440","Missouri","Macon County",-29,-19,NA,-30,-19,NA
"1441","Missouri","Madison County",-5,NA,NA,NA,-22,NA
"1442","Missouri","Maries County",NA,NA,NA,NA,-21,NA
"1443","Missouri","Marion County",-38,1,NA,-46,-26,13
"1444","Missouri","McDonald County",-9,9,NA,NA,-25,-4
"1445","Missouri","Miller County",-15,3,-32,NA,-24,-3
"1446","Missouri","Mississippi County",-38,NA,NA,-13,-16,NA
"1447","Missouri","Moniteau County",-18,14,NA,NA,-25,NA
"1448","Missouri","Monroe County",-54,NA,NA,NA,-24,NA
"1449","Missouri","Montgomery County",-54,-8,NA,NA,-18,NA
"1450","Missouri","Morgan County",-17,23,NA,NA,-33,NA
"1451","Missouri","New Madrid County",-22,-4,NA,-12,-23,NA
"1452","Missouri","Newton County",-27,-7,7,-19,-26,13
"1453","Missouri","Nodaway County",-30,-10,NA,NA,-16,NA
"1454","Missouri","Oregon County",-2,4,NA,NA,-19,NA
"1455","Missouri","Osage County",-47,-6,NA,NA,-26,NA
"1456","Missouri","Ozark County",NA,NA,NA,NA,-17,NA
"1457","Missouri","Pemiscot County",-37,5,NA,-27,-26,NA
"1458","Missouri","Perry County",-33,-13,NA,NA,-33,NA
"1459","Missouri","Pettis County",-27,7,NA,NA,-22,15
"1460","Missouri","Phelps County",-37,-17,NA,-18,-27,16
"1461","Missouri","Pike County",-28,-2,NA,NA,-26,NA
"1462","Missouri","Platte County",-46,15,-19,-80,-40,15
"1463","Missouri","Polk County",-24,-13,-46,NA,-23,10
"1464","Missouri","Pulaski County",-32,-9,NA,-45,-19,13
"1465","Missouri","Putnam County",NA,NA,NA,NA,-28,NA
"1466","Missouri","Ralls County",-54,NA,NA,-9,-22,NA
"1467","Missouri","Randolph County",-31,-17,NA,NA,-18,1
"1468","Missouri","Ray County",-14,1,NA,NA,-22,7
"1469","Missouri","Ripley County",-5,-2,NA,NA,-28,NA
"1470","Missouri","Saline County",-26,0,NA,NA,3,0
"1471","Missouri","Scott County",-34,0,NA,-19,-21,11
"1472","Missouri","Shannon County",NA,NA,NA,NA,-29,NA
"1473","Missouri","Shelby County",NA,NA,NA,NA,-28,NA
"1474","Missouri","St. Charles County",-45,-13,63,-16,-37,11
"1475","Missouri","St. Clair County",-27,-4,NA,NA,-17,NA
"1476","Missouri","St. Francois County",-26,3,-29,NA,-15,13
"1477","Missouri","St. Louis",-52,-7,34,-35,-36,11
"1478","Missouri","St. Louis County",-45,-21,87,-59,-38,11
"1479","Missouri","Ste. Genevieve County",-30,NA,NA,-3,-17,NA
"1480","Missouri","Stoddard County",-19,-5,NA,NA,-18,-2
"1481","Missouri","Stone County",-16,19,NA,NA,-39,9
"1482","Missouri","Sullivan County",NA,NA,NA,NA,-7,NA
"1483","Missouri","Taney County",-47,-7,41,NA,-49,13
"1484","Missouri","Texas County",-21,13,NA,NA,-23,NA
"1485","Missouri","Vernon County",-21,13,NA,-24,-14,NA
"1486","Missouri","Warren County",-25,-5,NA,-4,-26,16
"1487","Missouri","Washington County",-9,-9,NA,NA,-14,NA
"1488","Missouri","Wayne County",-21,6,NA,NA,-29,NA
"1489","Missouri","Webster County",-1,-13,NA,-38,-31,16
"1490","Missouri","Wright County",-27,2,NA,NA,-19,NA
"1491","Montana","Total",-51,-25,28,-37,-37,10
"1492","Montana","Beaverhead County",-31,-11,NA,NA,-31,NA
"1493","Montana","Big Horn County",-51,-7,NA,-13,-28,NA
"1494","Montana","Blaine County",NA,NA,NA,NA,-41,NA
"1495","Montana","Broadwater County",-62,-3,NA,NA,-33,NA
"1496","Montana","Carbon County",-63,-30,NA,NA,-45,NA
"1497","Montana","Cascade County",-48,-26,-22,-70,-32,12
"1498","Montana","Custer County",-48,NA,NA,NA,-28,NA
"1499","Montana","Dawson County",-60,-7,NA,NA,-23,NA
"1500","Montana","Deer Lodge County",-57,-26,NA,NA,-31,NA
"1501","Montana","Fergus County",-45,-31,NA,NA,-32,NA
"1502","Montana","Flathead County",-53,-29,-35,-50,-42,10
"1503","Montana","Gallatin County",-63,-39,61,-66,-51,12
"1504","Montana","Glacier County",-71,-28,NA,NA,-45,NA
"1505","Montana","Hill County",-42,-4,NA,NA,-24,NA
"1506","Montana","Jefferson County",-69,NA,NA,NA,-36,NA
"1507","Montana","Lake County",-41,-22,NA,NA,-31,1
"1508","Montana","Lewis and Clark County",-51,-34,19,NA,-37,18
"1509","Montana","Lincoln County",-79,-29,NA,NA,-38,NA
"1510","Montana","Madison County",-100,NA,-42,NA,-44,NA
"1511","Montana","Mineral County",NA,-54,NA,NA,-38,NA
"1512","Montana","Missoula County",-55,-30,31,-28,-36,11
"1513","Montana","Park County",-54,-29,NA,NA,-44,NA
"1514","Montana","Pondera County",-53,NA,NA,NA,NA,NA
"1515","Montana","Powell County",NA,NA,NA,NA,-30,NA
"1516","Montana","Ravalli County",-49,-20,NA,NA,-39,11
"1517","Montana","Richland County",-36,-22,NA,NA,-41,NA
"1518","Montana","Roosevelt County",-25,-20,NA,NA,-42,NA
"1519","Montana","Rosebud County",NA,NA,NA,NA,-30,NA
"1520","Montana","Sanders County",-62,-27,NA,NA,-36,NA
"1521","Montana","Silver Bow County",-45,-15,NA,-20,-37,13
"1522","Montana","Stillwater County",-47,NA,NA,-4,-33,NA
"1523","Montana","Teton County",NA,NA,NA,NA,-38,NA
"1524","Montana","Valley County",-64,NA,NA,NA,-28,NA
"1525","Montana","Yellowstone County",-49,-21,114,-45,-32,8
"1526","Nebraska","Total",-34,-9,109,-18,-24,8
"1527","Nebraska","Adams County",-24,-14,NA,NA,-18,13
"1528","Nebraska","Box Butte County",-20,-7,NA,NA,-14,NA
"1529","Nebraska","Buffalo County",-39,-16,NA,-3,-28,17
"1530","Nebraska","Burt County",-58,NA,NA,NA,-18,NA
"1531","Nebraska","Butler County",-53,NA,NA,NA,-19,NA
"1532","Nebraska","Cass County",-33,NA,-63,NA,-28,12
"1533","Nebraska","Cedar County",NA,NA,NA,NA,-19,NA
"1534","Nebraska","Cherry County",-70,NA,NA,NA,-34,NA
"1535","Nebraska","Cheyenne County",-21,-20,NA,-1,-26,NA
"1536","Nebraska","Clay County",NA,NA,NA,NA,-28,NA
"1537","Nebraska","Colfax County",-52,-10,NA,NA,-6,NA
"1538","Nebraska","Cuming County",-29,NA,NA,NA,-24,NA
"1539","Nebraska","Custer County",-33,-14,NA,NA,-14,NA
"1540","Nebraska","Dakota County",-10,7,NA,NA,-23,1
"1541","Nebraska","Dawes County",-26,NA,NA,NA,-30,NA
"1542","Nebraska","Dawson County",-19,3,NA,NA,-12,-2
"1543","Nebraska","Deuel County",NA,NA,NA,-5,NA,NA
"1544","Nebraska","Dixon County",NA,NA,NA,NA,-25,NA
"1545","Nebraska","Dodge County",-21,-5,NA,-2,-22,13
"1546","Nebraska","Douglas County",-41,-7,55,-38,-30,9
"1547","Nebraska","Fillmore County",NA,NA,NA,NA,-20,NA
"1548","Nebraska","Gage County",-22,6,NA,NA,-21,1
"1549","Nebraska","Hall County",-35,-20,NA,-15,-26,12
"1550","Nebraska","Hamilton County",-58,NA,NA,-6,-22,NA
"1551","Nebraska","Holt County",-20,6,NA,NA,-9,NA
"1552","Nebraska","Howard County",NA,NA,NA,NA,-21,NA
"1553","Nebraska","Jefferson County",-13,NA,NA,NA,-22,NA
"1554","Nebraska","Kearney County",NA,NA,NA,NA,-29,NA
"1555","Nebraska","Keith County",-31,-20,NA,14,-26,NA
"1556","Nebraska","Kimball County",NA,NA,NA,NA,-41,NA
"1557","Nebraska","Knox County",NA,NA,NA,NA,-25,NA
"1558","Nebraska","Lancaster County",-39,-19,156,-18,-26,8
"1559","Nebraska","Lincoln County",-29,-4,NA,-8,-14,14
"1560","Nebraska","Madison County",-38,-7,NA,NA,-17,14
"1561","Nebraska","Merrick County",-55,NA,NA,NA,-24,NA
"1562","Nebraska","Morrill County",NA,NA,NA,NA,-22,NA
"1563","Nebraska","Nemaha County",-56,NA,NA,NA,-27,NA
"1564","Nebraska","Otoe County",-8,3,NA,NA,-16,NA
"1565","Nebraska","Phelps County",-20,-8,NA,NA,-30,NA
"1566","Nebraska","Pierce County",NA,NA,NA,NA,-24,NA
"1567","Nebraska","Platte County",-34,-2,NA,-16,-17,15
"1568","Nebraska","Polk County",NA,NA,NA,NA,-22,NA
"1569","Nebraska","Red Willow County",-16,NA,NA,NA,-18,NA
"1570","Nebraska","Richardson County",-24,-2,NA,NA,-13,NA
"1571","Nebraska","Saline County",-17,-10,NA,NA,-24,NA
"1572","Nebraska","Sarpy County",-36,-15,191,23,-30,9
"1573","Nebraska","Saunders County",-29,18,NA,NA,-27,NA
"1574","Nebraska","Scotts Bluff County",-25,-3,NA,NA,-18,14
"1575","Nebraska","Seward County",-29,NA,NA,NA,-32,NA
"1576","Nebraska","Stanton County",NA,NA,NA,NA,-20,NA
"1577","Nebraska","Thayer County",NA,NA,NA,NA,-19,NA
"1578","Nebraska","Thurston County",NA,NA,NA,NA,-30,NA
"1579","Nebraska","Washington County",-18,-9,NA,NA,-23,NA
"1580","Nebraska","Wayne County",-53,NA,NA,NA,-26,NA
"1581","Nebraska","York County",-39,NA,NA,-12,-31,NA
"1582","Nevada","Total",-47,-23,-38,-62,-52,14
"1583","Nevada","Carson City",-36,-13,-3,NA,-35,18
"1584","Nevada","Churchill County",-27,-11,NA,NA,-28,5
"1585","Nevada","Clark County",-48,-26,-47,-66,-56,15
"1586","Nevada","Douglas County",-58,-35,-35,NA,-47,18
"1587","Nevada","Elko County",-40,10,7,-11,-35,17
"1588","Nevada","Humboldt County",-46,-1,NA,-40,-20,NA
"1589","Nevada","Lander County",-59,-12,NA,NA,-41,NA
"1590","Nevada","Lyon County",-14,-5,NA,-10,-27,15
"1591","Nevada","Mineral County",NA,NA,NA,-29,NA,NA
"1592","Nevada","Nye County",-26,-15,-52,-20,-40,13
"1593","Nevada","Pershing County",NA,NA,NA,6,-32,NA
"1594","Nevada","Storey County",-73,NA,NA,NA,-38,NA
"1595","Nevada","Washoe County",-44,-21,6,-64,-42,12
"1596","Nevada","White Pine County",-65,-4,NA,-4,-23,NA
"1597","New Hampshire","Total",-58,-35,-63,-63,-38,13
"1598","New Hampshire","Belknap County",-52,-28,-53,NA,-35,18
"1599","New Hampshire","Carroll County",-69,-30,-66,NA,-51,19
"1600","New Hampshire","Cheshire County",-51,-36,-46,NA,-34,18
"1601","New Hampshire","Coos County",-52,-21,-68,NA,-37,10
"1602","New Hampshire","Grafton County",-62,-37,-71,-45,-44,20
"1603","New Hampshire","Hillsborough County",-62,-37,-55,-57,-38,14
"1604","New Hampshire","Merrimack County",-58,-31,-59,-76,-37,13
"1605","New Hampshire","Rockingham County",-59,-36,-63,-60,-39,14
"1606","New Hampshire","Strafford County",-51,-38,-53,-39,-38,13
"1607","New Hampshire","Sullivan County",-45,-22,NA,NA,-28,16
"1608","New Jersey","Total",-59,-33,-36,-70,-44,16
"1609","New Jersey","Atlantic County",-56,-30,11,-72,-55,16
"1610","New Jersey","Bergen County",-66,-37,-64,-64,-50,19
"1611","New Jersey","Burlington County",-53,-39,7,-53,-38,14
"1612","New Jersey","Camden County",-50,-30,-29,-59,-37,13
"1613","New Jersey","Cape May County",-49,-27,-14,-59,-41,19
"1614","New Jersey","Cumberland County",-36,-19,-35,-28,-25,10
"1615","New Jersey","Essex County",-60,-27,-50,-78,-43,17
"1616","New Jersey","Gloucester County",-54,-30,-3,-15,-36,13
"1617","New Jersey","Hudson County",-62,-38,-69,-72,-51,18
"1618","New Jersey","Hunterdon County",-64,-35,21,-31,-42,28
"1619","New Jersey","Mercer County",-55,-25,-27,-74,-43,15
"1620","New Jersey","Middlesex County",-64,-41,-31,-77,-44,17
"1621","New Jersey","Monmouth County",-62,-34,-32,-67,-44,17
"1622","New Jersey","Morris County",-63,-39,-43,-64,-47,18
"1623","New Jersey","Ocean County",-55,-31,-25,-58,-42,15
"1624","New Jersey","Passaic County",-66,-34,-53,-55,-46,16
"1625","New Jersey","Salem County",-39,-21,-22,-61,-28,18
"1626","New Jersey","Somerset County",-61,-36,-31,-60,-47,17
"1627","New Jersey","Sussex County",-57,-27,-39,-53,-39,15
"1628","New Jersey","Union County",-62,-32,-40,-61,-44,17
"1629","New Jersey","Warren County",-47,-37,-35,-40,-35,14
"1630","New Mexico","Total",-44,-18,-12,-31,-34,11
"1631","New Mexico","Bernalillo County",-46,-22,8,-43,-37,11
"1632","New Mexico","Chaves County",-46,-26,-41,-49,-26,12
"1633","New Mexico","Cibola County",-27,-7,NA,-16,-30,NA
"1634","New Mexico","Colfax County",-62,-29,NA,-26,-40,NA
"1635","New Mexico","Curry County",-38,-17,-32,-38,-25,16
